description,category
Take necessary action pls,Waste/Garbage
On the main road,Waste/Garbage
Parked on the foot path,Traffic/Parking
Waste over the road side,Waste/Garbage
Waste all over the muddy area,Waste/Garbage
It's an open drain,Potholes
It's on road where a lot of vehicles travel and there's an international hotel,Waste/Garbage
Garbage lying on a platform near the main road,Waste/Garbage
The auto needs to be checked by pollution board. It was excreting too much smoke.,Air
A FEW DAYS THEY SRE NOT COLLECTING GARBAGE,Waste/Garbage
Pls clear this dump which is near  DR.AMBEDKAR ground,Waste/Garbage
"All plants were burned here and the odour smell is harmful to people
",Waste/Garbage
Garbages are dumped here so that the cattles graze here also been affected,Waste/Garbage
There are many potholes in the platform.,Potholes
This will increase diseases to people,Waste/Garbage
Cow which eats it is under high risk,Waste/Garbage
Mosquitos bread in it,Waste/Garbage
Its a health hazard,Waste/Garbage
Mosquitoes bread on it,Water
Separate dustbin degradable and biodegradable has to to installed every where,Waste/Garbage
Install dustbins every where and should be maintained ,Waste/Garbage
"Cow dung is lying all over the footpath that leads to my school. Also, there are bins full of garbage near the path which doesn't seem to be cleared. They have to be cleared.",Waste/Garbage
Open sewage which is stinking too much,Potholes
"Vehicle parked near Shree Apartments for months and also with missing parks. It is in a very bad condition.
Please look after this.",Traffic/Parking
Please clean the area were garbage is flooded,Waste/Garbage
"A vehicle in a really  bad condition. It has been there for months. It is near Shree Apartments.
",Traffic/Parking
The garbage is overflowing out of the garbage bin.Only one garbage bin for an area.Do something.Animals are getting harmed by eating plastic in the garbage,Waste/Garbage
"Sir,there is a garbage dustbin near Ajantha Flats where mosquitoes are breeding and today two cows were eating something there. If this continues, soon there will be a problem of sanitation",Waste/Garbage
"The problem is that the rocks take the space on the road, this makes everyone to turn around and go in another way",Traffic/Parking
Wrong parking in the  foot path,Traffic/Parking
Help,Waste/Garbage
"Sending the consern authority to clean the Garbage
",Waste/Garbage
Sending consern authority to the place to clean the land,Waste/Garbage
I will try to clear it,Waste/Garbage
I will try to clear,Streetlights
Full of stinky smell,Water
Blocking ways,Waste/Garbage
Plz clean it soon,Waste/Garbage
Blocking the ways,Traffic/Parking
Very stinky,Waste/Garbage
People dump waste and garbage and the road sweeper is not regular to this place,Waste/Garbage
Road is very narrow,Streetlights
Blocking the road ,Traffic/Parking
Very stinky,Waste/Garbage
Vehicles get struck in it,Potholes
I will try to help,Traffic/Parking
Can’t walk there,Traffic/Parking
The dustbin has a hole in it and all the waste has been leaking out.It has also not been cleared for the past three days and is overflowing,Waste/Garbage
Pls clean this dump or else it will be unhealthy and people will get disease,Waste/Garbage
Garbage bags are thrown here and nobody has cleared it still,Waste/Garbage
"There is a huge hole in this dustbin and  it should be 
removed immediately as the garbage falls in the road",Waste/Garbage
There are always some stones on the footpath.,Waste/Garbage
Parked in foot path..,Traffic/Parking
The problem is that in this area there both rocks and garbage wastes in food path because of the rocks the road has buldged and the vehicle cannot move in the road. So we have to clear the rocks,Traffic/Parking
Repairing of manholes for a long time and not finished for about 1 month.,Potholes
Stop the water leakage please,Water
Drainage and garbage is contaminating the water,Water
Our are has 4 dustbins. All are asked to put the waste inside it. But nobody follows and all will put the waste outside it.  It causes a bad odour and is not hygienic for all the people...,Waste/Garbage
There is garbage all around the dustbin,Waste/Garbage
So much garbage due to no dust bin in our street,Waste/Garbage
Garbage near in our street due to no dust bin,Waste/Garbage
Smell everywhere at roads,Waste/Garbage
In our area sewage lines are not closed properly,Sewage
Pot holes could accident which may cause death,Potholes
Garbage is dumped on vacont lot near road,Waste/Garbage
Waste water in roads mosquitos will develop.,Water
"They are cutting trees. Even today in my school I saw a person cutting down trees 
In a forest near. We asked him stop. But he couldn't hear it. I found that it is a government property",Air
There is no water harvesting system present in my area .Thereby at the time of heavy rains flooding is caused.,Water
"In the streets digging out of roads for manhole and not properly covered with thar.difficult for vehicle.
",Potholes
These potholes causes accidents. These should be dealt with the government. ,Potholes
There is a corpration dustbin bin uncleared for nearly 3 weeks .it is stinking and many mosquitos are surrounding it .this may cause many diseases.,Waste/Garbage
"To be cleared 


To be cleared",Waste/Garbage
These vehicles causes disturbance to others .Government should give a huge fine in parking in these footpath .,Traffic/Parking
"Every one are skidded because of this. Even the vehicles
",Potholes
In these areas all the people are dumping their garbage. Animals can eat  these garbage. ,Waste/Garbage
"Many people will dump the garbage in this place. There no dustbins in that road and there are no sign boards stating that
 ""no one should put garbages""",Waste/Garbage
In these areas there are many potholes. These causes traffic too. These should be dealt by the government. ,Potholes
People walking over this are falling inside it.,Potholes
The untreated sewage dustbin and koovam river in my street is very stinky and a lot of mosquitoes are breeding on it.,Sewage
Garbage smell all over the street.,Waste/Garbage
Please clean this area are eles this area may get diseases and the animals will be harmed.,Waste/Garbage
In these areas the drainage flows through. But poor people have to live here .this should be cleared by the government. ,Sewage
All the people dump there garbage. It's so stingy. ,Waste/Garbage
Please clean this area are eles we are going to get diseases,Waste/Garbage
One street light is not glowing.,Streetlights
Please clear this promblem,Potholes
In weddings bottles which are served are thrown carelessly after using on the platforms.,Waste/Garbage
Many dustbins in this are are broken and they are tilted and the garbages are flowing out,Waste/Garbage
"It is not clean and hygienic .it has many other substances mixed in it which make a unpleasant door
",Potholes
"The garbage is stored in the sewage for many months.This makes a very bad smell which is not healthy to humans. So please clean it
",Waste/Garbage
"In this place garbage is just thrown on the compound of a government school. Many animals like cows,dogs,cats,crows eat these plastic waste and die
",Waste/Garbage
The corporation has opened a man hole and has not closed which is very dangerous because someone may fall inside it. So please close it,Potholes
"Near my locality there is a vacant land where the garbage collectors dump the garbage there. Do the place is getting nasty and the soil is also gets polluted.
.",Waste/Garbage
There are open drains in my locality and we are scared that we might fall in it one day ......,Sewage
In these areas are occupied by these stuffs. Children's and peoples have to walk carefully by the road only.,Traffic/Parking
This is a well developed area and there are not many bins . So people throw garbage only here,Waste/Garbage
This a busy road as there are many schools near and no measures has been taken to repair these potholes,Potholes
There is a broken foot path near santhosh super market. There the water is gets blocked and this is creating a house for mosquitos.,Water
Uncomfortable,Waste/Garbage
Always overflowing,Waste/Garbage
This is actually my uncle's land and people throw all the waste here although we've warned them. Also there is regular collection of garbage here,Waste/Garbage
People are so bad,Waste/Garbage
All the sewage lines should be checked every month. We should not allow to overflow it.,Sewage
Scary,Potholes
This is a very small road but is the only road which connects two areas and no measures have been taken .,Potholes
Near santhosh super market  the electric wires are lying on the footpath. This is causing many problems. It could cause some electric shock to any one at any time.,Streetlights
OFCs and Cables are wrapped around and hanging on the lamp post. It is dangling and is hazardous since it is near a flat due to the chance of wires getting snapped.,Streetlights
This a very busy road near PADI Sivan Kovil and a lot of garbage is thrown here. Also the garbage cans are in a bad condition.,Waste/Garbage
This a busy road near PADI Saravana stores and the condition of the road is worst,Potholes
Water leakage has been a major problem in Chennai causing water  crisis. Therefore major awareness to be spread on this subject....,Water
Garbage did not collected for 2 days.,Waste/Garbage
Roads not laid proper near Stella Maris college (Radha Krishnan Salai),Potholes
Restaurants in gopalapuram 6th Street are not disposing garbage properly,Waste/Garbage
Lack of proper drainage disposal near DAV school gopalapuram,Sewage
Air pollution has become a very big problem in cities like Chennai.  Vehicles are one of the most important factors for this.....,Air
There are potholes which are not fixed fo a while in front of stella Maris,Potholes
"This is a picture of a broken dustbin. There is also a broken small vehicle.the dustbin  is not replaced by the government and the took no action on the vehicle 
This should be taken seriously.",Waste/Garbage
Traffic jam at DAV school during dispersal time gopalapuram,Traffic/Parking
This broken car is lying there for 1-2 years.if the government had taken this away there would have been more space for the vehicles to move.,Traffic/Parking
It is a sewage. Which has very dirty substance in it . It attracts mosquitoes,Waste/Garbage
They are not clearing the wastes,Waste/Garbage
Waste near roads,Waste/Garbage
Not clean sanitation,Waste/Garbage
Lot of waste from tasmac,Waste/Garbage
"Because of this there are many problems  like parking of
 vehicles and cannot walk through the road .",Water
Because there is no water in the street every house is putting bore,Water
Due to water logging mosquitoes have increased drastically disturbing the residents,Water
Due to this people are walking on the road which causes accident ,Traffic/Parking
Causes electric shock,Streetlights
See how are city is . Do you this or not . If not pls join me in making our city clean and bring awareness to the people about this,Waste/Garbage
Garbage dumped in a vacant land near hotel new saravanan,Waste/Garbage
The traffic signal is not working and it causes a lot of chaos.,Streetlights
Many plastic garbage dumps are punt near the transformers. This is stinking and could burn easily due to heat and the wires could also get burnt and could cause many big problems in that place.,Waste/Garbage
Heavy traffic in Tamilnadu please do something ,Potholes
"Garbage over flowing due to which the houses near are disturbed, faul smell is comming and also sometime over flowing so that it block  the entry of the street",Waste/Garbage
In these areas the vehicles are parked on the footpath. This causes accidents who walk through the road. Government should give a huge fine on this .,Traffic/Parking
In these areas the garbage are dumped. This allows breeding of mosquitoes. Especially animals will consume .,Waste/Garbage
Not cleared,Waste/Garbage
These should no be thrown like this,Waste/Garbage
This dump has been stayed more than 2 months. And stinks all lot. When we go near it smells. So I request to clean it.,Waste/Garbage
Clear this,Waste/Garbage
Clear this please,Waste/Garbage
Lying for a month,Waste/Garbage
Too much foul smell,Waste/Garbage
Clearence of tree leaves fallen,Waste/Garbage
This garbage is being eaten by many cows dogs and cats many of them die because of this  I. Want to stop this,Waste/Garbage
There's a cigarette lying on the floor of the hotel,Waste/Garbage
In our area mogappair east Chennai 37 garbage cleaners are not coming daily and not collecting the garbage house wise note it that you can help us.,Waste/Garbage
Garbage dumped on footpath,Waste/Garbage
"there are dumps of garbages 
",Waste/Garbage
There is a hole in it where we fall down. This is also a disturbance for big vehicles.,Potholes
"The road is not constructed properly,many people fall down during driving and get injuries very badly so plz take some action
",Potholes
A pothole was broken in the street of Thiruveethiyan street causing vehicles to stop. It could also cause rainwater clogging and people might step on them,Potholes
As there are waste in the vacant land we can't play and builders can't build buildings in it. So please clean it.,Waste/Garbage
"Debris along the transformers found in the Ellary street, this resists vehicle movement and a spot of unhygieneness",Waste/Garbage
Cleaning not proper,Waste/Garbage
We can solve this as this lane is so beautiful and temples r closer.. looks so unhygienic..clearing this wil help surrounding people.. planting trees in that place wil enhance the look,Waste/Garbage
Wasting water (from lorry),Water
"Unsegregated waste dumped next to school, burnt , no waste pick up",Waste/Garbage
"Unwanted material, tree branches and garbage are getting dumped in this plot of land making it unusable.",Waste/Garbage
Lot of garbage thrown,Waste/Garbage
Cut down tree waste,Waste/Garbage
Lot of waste,Waste/Garbage
Holes on road unevenly closed.,Potholes
"Plants are put here and burned here it cause air pollution
",Waste/Garbage
"All plant cut are put down here and burned here it realeses toxic gas in the air which is harmful to human
",Waste/Garbage
Garbages are dumped here so that an odour smell is formed and when ever we cross this area it stinks ,Waste/Garbage
Because of this many accident in night,Potholes
"We want another road side bin as it is dumped as many garbages as possible and the extra garbages came out of the bin so pls we want another roadside bin
",Waste/Garbage
This is an annoying problem for residents where the drainage set up is not proper. When leakage happens we are helpless ,Sewage
Water stagnation,Water
See how our city is,Air
It is some times gives a unpleasant odour.sometimes it blocks and water is not draining please solve this problem,Waste/Garbage
It is dumped near a park,Waste/Garbage
The garbage are dumped opposite to a park,Waste/Garbage
The dustbin is dumped fully with garbage which is also scattered down around the please out side of the school,Waste/Garbage
The street lights are not bright so sometimes we are unable to see and we are falling so please repair it,Streetlights
It can be a health hazard for people working on the transformer,Waste/Garbage
Water is not coming in the toilets sometimes so please repair it because it attracts mosquitoes which may bite us it sometimes also produces bad smell,Waste/Garbage
Pieces of glass are also,Waste/Garbage
Some times people put garbage in this open lying land which give a bad smell so please clean the garbage . It attracts mosquitoes which are dangerous,Waste/Garbage
New pillers,Streetlights
Trees near our school graveyard are being cut.the sad thing is that the government is itself cutting the trees .,Waste/Garbage
Corporation Dustbin removed ...garbage thrown on road...,Waste/Garbage
Clear,Waste/Garbage
There is no Corporation Dustbin....most of the people throw the garbage here itself...many people throw  the garbage is thrown here from many months...,Waste/Garbage
Clear this,Waste/Garbage
Construction process of air pollution,Air
There is a large pot hole in this street ....most of the people find difficult to come out of the pothole once they r stuck inside it...,Potholes
Construction material not cleared,Waste/Garbage
"Due to the dumping of garbage, there is a lot of mosquitoes breeding and is smelling badly.",Waste/Garbage
In annanagar west near vellammal school many government mtc busses are not obeying traffic rules or traffic signals,Traffic/Parking
As there are wastes we get disease. And if there are waste people can't build buildings.,Waste/Garbage
Clear this,Waste/Garbage
There are 6 garbagebins in this area but no one is throwing the garbage wastes inside the bins everyone one are avoiding to go near the dustbins because some  very much nasty stinky smell is coming,Waste/Garbage
Clear,Waste/Garbage
"Road not in maintenance near turning risck of 

motor rider",Potholes
Stop putting garbage it is not good to do if in front of your house there will be will you take it or not if it will be in front of my house i would definitely take it SWACH BARATH - SWACH ABHIYAN,Waste/Garbage
The corporation had come to clean the land and they left the waste here itself.due to that there are many pests even snake and slots of mosquitoes,Waste/Garbage
It is in the turning of a road,Potholes
It is in front of a flats,Potholes
"These makes the road very dirty and consumed by animals 
And animals die due to this",Waste/Garbage
Not so propper road,Potholes
It is not maintained properly,Potholes
Water scarcity and also leakage,Water
Garbage dump in huge amounts at the turning point of the street which make the vehicles difficult to turn and hindrance to people walking by it.,Waste/Garbage
Garbages are dumped here so  that the smell of the garbages stinks the surroundings,Waste/Garbage
There is no proper disposal so the people dump the garbage here,Waste/Garbage
"Garbages are dumped so that the area stinks and  they aren't collecting the garbage 
",Waste/Garbage
Clear this,Waste/Garbage
"Garbages are dumped here so it stinks
",Waste/Garbage
Blocking the road,Potholes
Clear this,Waste/Garbage
Blocking and stinky,Waste/Garbage
This area has no other garbage cab an si people throw garbage only here,Waste/Garbage
Clear this,Waste/Garbage
Very  stinky,Waste/Garbage
Very stinky,Waste/Garbage
The unused cement is dumped near the school wall,Waste/Garbage
Very stinky,Waste/Garbage
We should park your vehicle in wrong side,Traffic/Parking
Can’t walk ,Traffic/Parking
Garbage spots near mogappair t.s Krishna nagar water tank office .please like this report at solve ninja!!!!!!!!,Waste/Garbage
Very stinky,Water
Waste segregation,Waste/Garbage
These makes mosquitoes to breed and animals eat these waste and die due to this please take action,Sewage
Garbage in government land.Not cleaned yet.,Waste/Garbage
These makes mosquitoes to breed and animals eat this and die due to this please take action,Sewage
Government land.has not been cleaned yet.,Waste/Garbage
Garbage covers on the road and platforms,Waste/Garbage
Garbage bags are out side.dustbin is broken.,Waste/Garbage
Garbage on road,Waste/Garbage
Wires hanging dangerously from a circuit box,Streetlights
Having no place to walk,Waste/Garbage
We can’t walk,Traffic/Parking
Houseold garbage dumped,Waste/Garbage
Many wastes in our area which is not taken for a week,Waste/Garbage
People throw their waste in the open area and cattle’s eat the plastic bags,Waste/Garbage
Many pathholes in our area. Due to which many People falling on it,Waste/Garbage
There is manhole in our area kept open for 2 days .,Potholes
Please clear garbage,Waste/Garbage
They are not keeping the  cable safely,Streetlights
Many people are dumping garbage in our area where children used to play,Waste/Garbage
Many people are collecting the garbagees door to door,Waste/Garbage
Thirumangalam traffic signal  not working very important junction .,Streetlights
Burning of garbage along the road. Multiple dumps. No maintenance.,Air
They are not cleaning the garbage in the roadside,Waste/Garbage
Water is leaking in metro pipes so request to you fix it,Water
Multiple dumps. No maintenance.,Waste/Garbage
Unclear roads can cause accident,Potholes
Many e.b cables are kept open so many people slipping,Streetlights
Make some rules so that people not throw garbage,Waste/Garbage
These bis are so smelly .these bins itself make the streets look  like khachra,Waste/Garbage
"People are not throwing garbage in dust bin but near to it so please make some rules so this 
problem can be cleared",Waste/Garbage
"This is not cleared for 2 days please help in clearing this



",Waste/Garbage
"The waste wood pieces are just thrown here every month

",Waste/Garbage
"Dumping of wood
",Waste/Garbage
The road is not proper and people fall down because of it.,Potholes
Trees being cut for wooden pencils,Air
There is a big dump near my house that always stinks and smells. So I request to clean that dump,Waste/Garbage
The dustbin is broken  for 1 month and which makes the road clumsy.,Waste/Garbage
"Waste materials and sand being dumped near my house
",Waste/Garbage
This road is small but it is near a busy road and in a very bad condition,Potholes
Cable wires dangling in my car park,Streetlights
"Water leakage in my surroundings
",Water
Unwanted materials and waste sand dumped near my house,Waste/Garbage
"Autos being parked on the pavement and space to walk


",Traffic/Parking
"Hey guys when went to Marina I saw this drainage
It look dirty and very stinky????????",Waste/Garbage
Dumping garbage at vacant lot and stinking,Waste/Garbage
These areas people are dumping their garbage. This causes stingy. Animals can eat these things. Government should clear these garbage. ,Waste/Garbage
There is a severe air pollution outside my school.that too it is a1way road people use it as2way.no trees no air.people dont use carpool also. So harmful.t her r somuch schools.,Air
These vehicles are parked in the footpath. This causes trouble for all the people. Government should take a severe action on it. ,Traffic/Parking
"The street light is not working

",Streetlights
"Garbage is a major problem in chennai. It has to cleared. People should take the responsibility to ensure that garbage is in the bin

",Waste/Garbage
In these areas all the people are parking there vehicle's. This causes accidents. ,Traffic/Parking
Water scarcity is a major issue in my flat. We are getting water only from water tankers. Even the Water tankers are coming olny once a week. I request to make the necessary arrangements.,Water
In these areas people are parking there vehicle's. This causes accidents. People can't walk in the footpath they have to go through road only. ,Traffic/Parking
"These wire may cause Danger in rainy season
",Streetlights
"Under these woods there are many snakes present
",Waste/Garbage
Water is wasted due to leaking taps in trains. Each compartment has 3 taps and in a train approximately 17 taps. A lot of water is wasted.,Water
Garbage dumped in the open space even though there are 2 garbage bins nearby,Waste/Garbage
See how this place is . Is this a well developed nation. We should fix these holes . It is the duty of us and municipal governments to fix these,Potholes
Tap is leaking always,Streetlights
In these areas the people are dumping there garbage. This causes health issues for all people are it.,Waste/Garbage
These garbage should be cleared by the government and even youngsters. ,Waste/Garbage
All the people are dumping their garbage. Animals can eat these things. ,Waste/Garbage
All the people are dumping their garbage. Animals can eat these things. This causes diseases. ,Waste/Garbage
All the people are dumping their garbage. Animals can eat these things. Government should take care of this. ,Waste/Garbage
There are many twigs which poke children legs,Streetlights
Garbage has been dumbed in a vacant land near Orlando apartments,Waste/Garbage
Big hole has been dug in the Center of the road ????,Potholes
"These garbage are eaten by animals and poured in road
",Waste/Garbage
Not cleared,Waste/Garbage
Clear these,Waste/Garbage
"Even after dustbins being installed, this is what is the situation in triplicane area. More dustbins and a more
 clear and proper organisations of these dustbins is needed.",Waste/Garbage
These people parking their in road,Traffic/Parking
"People are throwing garbage outside my house.
The municipal corporation workers are not cleaning it.
Due to this many flies are attracted which results in the people nearby getting ill and sick.",Waste/Garbage
See how people are parking their vehicles. Even though they have a separate area called parking area they park it her so that they need not walk to much,Traffic/Parking
See what the people have do to this bare land we should stop this so let’s report to the municipalities about this,Waste/Garbage
I'm B Karthikeyan 8-D DAV Boys Mogappair. Issue:- This is a garbage bin near Aavin junction. I &amp; my friends find it very difficult to walk in the pavement. Pls clear this garbage bin,Waste/Garbage
Clear this,Waste/Garbage
"So untidy,bad smell, traffic",Waste/Garbage
Clear this,Waste/Garbage
The water keeps leaking from the tanks with are used to store water,Water
"On my street where I live, the rainwater harvesting holes are below than the road. Many vehicles are damaged by driving on it.",Sewage
Clear this,Waste/Garbage
Accidents might be caused. Difficulty in transportation. Several potholes along the roads. Haven't been repaired for many months.,Potholes
Accidents might be caused. Difficulty in transportation. Haven't been repaired for many months. Many potholes along the roads.,Potholes
Coal is being used for ironing,Air
There is a lot of street dogs in our area.It always bark at every body.so please catch and go,Water
River full of garbage.,Waste/Garbage
The garbage is not cleaned properly,Waste/Garbage
They throw it under the car,Waste/Garbage
Help to clear garbage,Waste/Garbage
Mixed garbage is being dumped here. They eventually burn it behind the village.,Waste/Garbage
See how the sewer is flooding in the road tge municipalities are not maintaining this so we have to make it an issue for the municipalities,Sewage
See how they have nastyed the government school,Waste/Garbage
See how the people are polluting the air we should stop this so please follow my solution which I give to you now,Air
Use cycle for short distance it will keep our body healthy and our environment clean so don’t use vehicles for travelling in short distance,Air
Newspaper are alover every where,Streetlights
Open sanitation opposite to a temple and many mosquitoes are there,Sewage
Hello sir its me sujay again we have another problem  that is hanging of electric wires in my neighboring localities this is a serious problem we should solve it,Streetlights
Manhole is open near our home,Potholes
It is in the front of the flat.please clear it.,Waste/Garbage
No drainage connection in Mel Ayanambakkam ward so that each house so that drainage water was flowing down the road and it stinks a lot pls do some underground drainage connection for this problem so ,Sewage
Manholes are open near my house,Waste/Garbage
Bad smell is coming and many mosquitoes are there,Waste/Garbage
There are lot of street dogs in this area makes every one scare and bark at evrebody.please catch and go.,Water
These waterlogging can skit the vehicles and causes severe accidents. ,Water
These can causes accidents. Government should take care of it .,Potholes
These can causes severe accidents. ,Potholes
"I live in T nagar . There is a garbage can outside our house. People always throw garbage outside the can and the place stinks a lot .The place is also not cleaned regularly by the corporation. 
",Waste/Garbage
This can cause accidents. This skits the vehicles. ,Potholes
This can scatter the water to the people walking through the road. ,Water
See what we have did to our road s is this how we maintain it,Waste/Garbage
These can causes accidents. People have to drive carefully. ,Potholes
"Dumb makes terrible stink ????????
",Waste/Garbage
Please clear this it not being cleared for many days,Waste/Garbage
"Air pollution is increasing in India,  because each house needs a 2-3 bikes and 2-3 cars. This is one of the reasons that air pollution has increased.",Air
Many trees are cut down near my house,Waste/Garbage
There many trees cut down near my house,Waste/Garbage
Ant problem because of garbage dumb,Streetlights
There are many mosquitoes,Air
Vehicle such as autos cars bikes air polluted the air,Air
"Broken  pieces of rocks,stones and branches are thrown on land",Streetlights
Over full of garbage,Waste/Garbage
Rocks and stones are kept in public places,Streetlights
Torn and old clothes are thrown in public places,Waste/Garbage
Blocking the way,Waste/Garbage
This is the photo of a broken manhole. I myself had stuck in this. Many times big vehicles have stuck in this. So please repair it.,Potholes
many accidents,Potholes
The garbage is dumped there and the dustbin is full. It stinks when we cross there. Nobody came to collect the garbage for 2 weeks.,Waste/Garbage
This is a broken manhole. I myself had stuck in this place. Many times big vehicles have stuck in this manhole. So please repair it. ,Potholes
In this area the instead of putting in garbage bin the are putting in vaccant land,Waste/Garbage
The roads are not uneven,Water
In these places most of the garbage are dumped by the travellers. Government should take care of it. ,Waste/Garbage
"All the people around this area are dumping their garbage. These are mostly consumed by animals. 
",Waste/Garbage
"The water is leaking in this tap for many days. The tap is broken and it can't be closed. Due to this frequent dropping of water, it is getting  wasted without any use. So please repair it.",Water
Street lights are not working,Streetlights
In these areas the people are dumping their garbage. Even now the people are dumping after announcing more awareness. ,Waste/Garbage
All the people are dumping their garbage. Animals can eat these things. ,Waste/Garbage
Damaged road,Potholes
This garbage filled land encourage multiplying of mosquitoes during rainy season .unfortunately a school is near to it,Waste/Garbage
The people are dumping their garbage. In this areas the garbage mix with the water and even poor people use these .,Waste/Garbage
Road damage,Potholes
All the people are dumping their garbage. This causes health issues. ,Waste/Garbage
The garbage is thrown and the dustbin is full. The place is stinky and nobody came to collect the garbage for 3 days. So please clear the garbage,Waste/Garbage
The same situation is followed here also there was a dusbin here and that was been cracked so that that was taken here now so that the people here dump here.,Waste/Garbage
"As soon as the trash van clears the trash,the people dump all wet and dry wastes in the lot and it rots and stinks.",Waste/Garbage
"There are so many garbage to be cleared 
There are also plants grown densely and insects spread there",Waste/Garbage
"Garbage
",Waste/Garbage
There are dustbins near the school and vans and cars are parked . So we are unable to walk there and there is no way for the cars and pedestrians to go,Traffic/Parking
I think some steps to be taken to stop taking the garbage in bare hands and some hygienic practices should to taken .,Waste/Garbage
You can see that all the garbage is been dumped and full and fully scattered everywhere around the land,Waste/Garbage
This area that the garbage cleaners dump in other vaccant land so that most people dont visit that area and they park the van and truck continuosly and disturb the road,Waste/Garbage
The road is not proper,Potholes
"There is garbage being dumped in here which is also just BESIDE A PARK , SCHOOL AND RESIDENTIAL AREAS.",Waste/Garbage
This 2 bins are full always. The garbage collectors had not came yet. Many people are throwing the garbage near the dustbin because of full garbage bins.,Waste/Garbage
Vans are in the platform which is very uncomfortable for the pedestrians so please clear it,Traffic/Parking
This hole is broken and not yet repaired. Many times I had stuck in it. In monsoon season we can't see that hole and we get stuck in it. So please repair it.,Potholes
Lot of garbage thrown. It blocks the way. It is stinky while crossing the way.,Waste/Garbage
Lots of garbage. The garbage bins are full and it is thrown.,Waste/Garbage
So much of grabage dumped and many had urined this causes many diseases,Waste/Garbage
"Clear this
",Waste/Garbage
This not cleared for a few days,Waste/Garbage
"All have parked in roads this makes no vans ,buses or water lorry to go in this street",Traffic/Parking
"This land is full of garbage please clear this 
",Waste/Garbage
Please come repair this tap please because it is leaking most of the time,Water
All the people who are visiting the beach are parking in the footpath. This causes huge traffic. ,Traffic/Parking
Garbage Dumping area,Waste/Garbage
All the people are parking there vehicle's in the footpath. This causes accidents. People can't walk through the footpath. ,Traffic/Parking
Potholes,Potholes
All the are going through the footpath. This causes accidents and even traffic. ,Traffic/Parking
People are going through the footpath. This causes accidents. Government should take action on this issue. ,Traffic/Parking
This not cleared for many days ,Waste/Garbage
People are throwing garbage outside dustbin and the garbage man is also not coming to pick it up,Waste/Garbage
More and more garbage dumped,Waste/Garbage
After digging up for rainwater drain they did not fix the road,Potholes
This road is uneven for the last 1 year....most of the people find difficult to travel from this road..,Potholes
Smells so bad,Waste/Garbage
Broken wall not fixed,Potholes
After construction lots of rubbish dumped on road,Waste/Garbage
There are holes in it .,Potholes
Water flooding on road,Water
"
The garbage is being dumped in a vacant area near a PARK,SCHOOL And RESIDENTIAL AREA ",Waste/Garbage
It is a very disturbing problem for everyone who travel. It often creates traffic.,Potholes
All garbage dumped on vacant lot,Waste/Garbage
There is a large pothole in middle of this road...people find difficult to cross this road...,Potholes
It is a very important problem and very disturbing,Waste/Garbage
Bad maintenance of manhole,Potholes
Man hole in the middle of a toad,Potholes
Bad maintenance of manhole ????,Potholes
This pothole is nearly since 7-8 months ...it is also located correct at the turning ...most of the traffic occurs because of this pothole only..,Potholes
Garbage has been dumbed in a vacant land,Waste/Garbage
"Huge ???? has been dug and left as it is for 1 to 2 years
Plz fix it",Potholes
This road is uneven for the last 1 year....the corporation also has not taken any actions about this...many accidents have happened due to this road only...,Potholes
Big hole in the entrance of a house ???? . please fix it,Potholes
This road is very uneven ....it is for the last 8-9 months ... corporation has not taken any actions till now,Potholes
Another big hole ????.plz fix it,Potholes
This pothole is on the main road ....too much of traffic occurs because this only..no action is still taken...,Potholes
Soil has been dumbed in the road .please clean ???? it up,Waste/Garbage
It is a very important problem that must be solved,Potholes
Manhole ???? in the center of the road .plz fix it,Potholes
These wodden scrap sheets are thrown here from last 15 days ...it is very difficult for the people who r turning ...no action is still taken,Waste/Garbage
It produces foul smell and it is not good,Waste/Garbage
"Parking
 Infacility",Traffic/Parking
Waterlogging  in our area,Water
Many fast food stores are having their shops in the footpath. This disturb the people. ,Traffic/Parking
These people are parking there vehicle's in the footpath. Government have to impose a huge fine on them.,Traffic/Parking
Fast food stalls must be removed from footpath. We should ban the fast food and it can Also causes diseases when it is consumed .,Traffic/Parking
Nowadays many people are driving the vehicles in the footpath. This causes accidents. ,Traffic/Parking
All the fast food stalls are kept in the footpath. This should be removed. ,Traffic/Parking
Garbage not cleaned and people carelessly throw it.,Waste/Garbage
These fast food stalls should be removed by the government as soon as possible. ,Traffic/Parking
These stalls should be removed from the footpath. This can also cause accidents. ,Traffic/Parking
These fast food stalls must be removed from the footpath. It also block the way people where people are walking. ,Traffic/Parking
More poisonous mosquitos are growing,Potholes
These causes a huge difficulty for people who are walking through the footpath. This should be cleared as soon as possible. ,Traffic/Parking
Damage of road for 2 to 3 yrs,Water
In velachery 200 feet main road... U can find these sort of overflown garbage everywhere..... ,Waste/Garbage
Water is leaking everywhere,Water
Broken lights not fixed,Streetlights
"Due to the open drains in my street causes in
 breeding of mosquito .",Sewage
Lot of garbage,Waste/Garbage
People  park in roads,Traffic/Parking
Everything is dirty except the clean and hollow dustbin :O,Waste/Garbage
Very stinky,Waste/Garbage
Damage on road near the drainage,Potholes
Wrong parking and dustbin not cleared for 1 week,Waste/Garbage
"Not well maintained drainage ,starts overflowing during rains ,need to take action by the government.",Sewage
A pothole in the middle of a road,Potholes
Someone’s dug it up,Potholes
Damaged roads,Water
